date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:44	193/193	---M--	200	added ('OK')	text/plain	date:Sat,%2011%20May%202024%2007:11:44%20GMT	https://www.greenwellspringsfamilydentistry.com/robots.txt		(from )
12:41:44	117729/117729	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20May%202024%2007:11:45%20GMT	https://www.greenwellspringsfamilydentistry.com/	C:/My%20Web%20Sites/Greenwells%20Family/www.greenwellspringsfamilydentistry.com/index.html	(from )
12:41:44	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2011%20May%202024%2007:11:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Greenwells%20Family/www.googletagmanager.com/gtm.05445.delayed	(from https://www.greenwellspringsfamilydentistry.com/)
12:41:47	137404/137404	---M--	200	added ('OK')	image/png	etag:%222d9b05700e395272b36dd3cbb3f408e5%22	https://gp-assets-1.growthplug.com/website_files/4327/gwstransp.png	C:/My%20Web%20Sites/Greenwells%20Family/gp-assets-1.growthplug.com/website_files/4327/gwstransp.png	(from https://www.greenwellspringsfamilydentistry.com/)
12:41:47	324234/324234	---M-Z	200	added ('OK')	text/css	etag:%228ea1eae8a4eb7e68d9e0de3a2c69a180%22	https://gp-st-assets-1.growthplug.com/static/CACHE/css/output.6198abad841f.css	C:/My%20Web%20Sites/Greenwells%20Family/gp-st-assets-1.growthplug.com/static/CACHE/css/output.6198abad841f.css	(from https://www.greenwellspringsfamilydentistry.com/)
12:41:47	316727/316727	---M-Z	200	added ('OK')	text/css	etag:%2258a4b3060927291f0d1af6c7b5909c1a%22	https://growthplug-content.s3.amazonaws.com/website_files/4327/home.css	C:/My%20Web%20Sites/Greenwells%20Family/growthplug-content.s3.amazonaws.com/website_files/4327/home.css	(from https://www.greenwellspringsfamilydentistry.com/)
12:41:48	171/171	---M--	200	added ('OK')	text/plain	etag:%221bc05f59187a4b5cf72c44e4421511f0%22	https://growthplug-content.s3.amazonaws.com/link_underline_override.css	C:/My%20Web%20Sites/Greenwells%20Family/growthplug-content.s3.amazonaws.com/link_underline_override.css	(from https://www.greenwellspringsfamilydentistry.com/)
12:41:49	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/Greenwells%20Family/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://www.greenwellspringsfamilydentistry.com/)
12:41:50	15737/15737	---M--	200	added ('OK')	text/css	etag:%226787f4280078e71b59f70183dcc48b0a%22	https://growthplug-content.s3.amazonaws.com/builder-assets/css-files/bootstrap-datepicker.min.css	C:/My%20Web%20Sites/Greenwells%20Family/growthplug-content.s3.amazonaws.com/builder-assets/css-files/bootstrap-datepicker.min.css	(from https://www.greenwellspringsfamilydentistry.com/)
12:41:51	154494/154494	---M--	200	added ('OK')	image/png	etag:%2235f5b2db1415b2561d6f1876063dea17%22	https://gp-assets-1.growthplug.com/website_files/4327/gwstranspnew.png	C:/My%20Web%20Sites/Greenwells%20Family/gp-assets-1.growthplug.com/website_files/4327/gwstranspnew.png	(from https://www.greenwellspringsfamilydentistry.com/)
